fecha;pagina;barrio;direccion;precio_raw;moneda;expensas;m2;ambientes;dormitorios;banos;precio_m2;mascotas;balcon;cochera;terraza;pileta;parrilla;luminoso;url;imagen;texto
2026-06-20;2;Villa General Mitre;Pasaje La Fronda e/ la Fronda y Boyacá Villa General Mitre, Capital Federal _;$ 1.250.000;ARS;400000.0;84;4;3.0;2;14881.0;False;True;False;False;False;False;True;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-3-dorm.-2-banos-84-m-59404454.html?n_src=Listado&n_pills=Lavadero&n_pg=2&n_pos=1;;$ 1.250.000 $ 400.000 Expensas 84 m² tot. 4 amb. 3 dorm. 2 baños Pasaje La Fronda e/ la Fronda y Boyacá Villa General Mitre, Capital Federal _Departamento de 3 Dormitorios 2 Baños en alquiler ubicado sobre calle Pasaje La Fronda e/ la Fronda y Boyacá (Villa Gral. Mitre, Capital Federal). Desarrollado en piso alto con disposición frente y orientación sur. _La propiedad cuenta con 4 ambientes. La misma posee cocina equipada con muebles bajo mesada, living comedor. Luminosa, cuenta con balcón y posee muy buena ventilación natural. _Cochera con capacidad para 1 vehículo. _La propiedad posee una superficie aproximada de 84mts2 totales, de los cuales 80mts2 son cubiertos. _Expensas aproximadas al 16/06/2026 son de $Ver datos. Yacoub | Construimos ConfianzaInnovación | Calidad | Sustentabilidad | Diseño100 Mil Metros Cuadrados | 25 TorresLa información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste. Lo que estás buscando lo tenemos | Estés Donde EstésVendemos en Todos Lados. --¿Buscas garantía para tu alquiler?. Conseguilo mas fácil, rápido y económico con Garantix. 100% online y cotización al instante. Abona en 3 cuotas sin interés y hasta 12 cuotas fijas o bien abona de contado y obtené un precio inmejorable. No busques más. Alquila más Fácil. Alquila con Garantix. Destacado WhatsApp Contactar
2026-06-20;2;Caballito;Rivadavia e/ Avenida Acoyte y Hidalgo Caballito, Capital Federal _;$ 1.300.000;ARS;240000.0;85;4;3.0;2;15294.0;False;True;False;False;False;False;True;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-3-dorm.-2-banos-caballito-59003502.html?n_src=Listado&n_pills=Aire+acondicionado&n_pg=2&n_pos=2;;$ 1.300.000 $ 240.000 Expensas 85 m² tot. 4 amb. 3 dorm. 2 baños Rivadavia e/ Avenida Acoyte y Hidalgo Caballito, Capital Federal _ Departamento de tres dormitorios en alquiler ubicado sobre calle Rivadavia entre Avenida Acoyte y Hidalgo (Caballito, Ciudad Autónoma de Buenos Aires). Desarrollado en piso alto por ascensor, con disposición contra frente y orientación al sur. _ El mismo posee cocina equipada con muebles sobre y bajo mesada, living comedor, tres dormitorios con placard empotrado y dos baños completos. Luminoso, cuenta con balcón y muy buena ventilación natural. _ La propiedad tiene una superficie total de aproximadamente 90mts2, de los cuales 85mts2 son cubiertos. _ Las expensas al 01/04/2026 son de aproximadamente $150. 000. Yacoub | Construimos ConfianzaInnovación | Calidad | Sustentabilidad | Diseño100 Mil Metros Cuadrados | 25 TorresLa información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste. Lo que estás buscando lo tenemos | Estés Donde EstésVendemos en Todos Lados. --¿Buscas garantía para tu alquiler? Conseguilo mas fácil y rápido con Garantix100% online y cotización al instante. Abona en 3 cuotas sin interés y hasta 12 cuotas fijas o bien abona de contado y obtené un precio inmejorable. No busques más. Alquila más Fácil. Alquila con Garantix. Destacado WhatsApp Contactar
2026-06-20;2;Caballito;Rosario e/ Viel y Beauchef Caballito, Capital Federal _;$ 1.490.000;ARS;400000.0;110;4;3.0;2;13545.0;False;True;False;False;False;False;True;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-3-dorm.-2-banos-110-m-59368387.html?n_src=Listado&n_pills=Permite+mascotas&n_pg=2&n_pos=4;;$ 1.490.000 $ 400.000 Expensas 110 m² tot. 4 amb. 3 dorm. 2 baños Rosario e/ Viel y Beauchef Caballito, Capital Federal _Departamento de 3 Dormitorios 2 Baños en alquiler ubicado sobre calle Rosario e/ Viel y Beauchef (Caballito, Capital Federal). Desarrollado en piso alto con disposición frente y orientación este. _La propiedad cuenta con 4 ambientes. La misma posee cocina equipada con muebles bajo mesada, living comedor. Luminosa, cuenta con balcón y posee muy buena ventilación natural. _La propiedad posee una superficie aproximada de 110mts2 totales, de los cuales 100mts2 son cubiertos. _Expensas aproximadas al 12/06/2026 son de $Ver datos. Yacoub | Construimos ConfianzaInnovación | Calidad | Sustentabilidad | Diseño100 Mil Metros Cuadrados | 25 TorresLa información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste. Lo que estás buscando lo tenemos | Estés Donde EstésVendemos en Todos Lados. --¿Buscas garantía para tu alquiler?. Conseguilo mas fácil, rápido y económico con Garantix. 100% online y cotización al instante. Abona en 3 cuotas sin interés y hasta 12 cuotas fijas o bien abona de contado y obtené un precio inmejorable. No busques más. Alquila más Fácil. Alquila con Garantix. Destacado WhatsApp Contactar
2026-06-20;2;Caballito;Antonio Machado 500 y Ambrosetti Caballito, Capital Federal _;$ 1.800.000;ARS;200000.0;90;4;3.0;1;20000.0;False;False;False;False;False;False;True;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-alquiler-3-dorm.-2-banos-caballito-59252350.html?n_src=Listado&n_pills=Encargado&n_pg=2&n_pos=5;;$ 1.800.000 $ 200.000 Expensas 90 m² tot. 4 amb. 3 dorm. 1 baño Antonio Machado 500 y Ambrosetti Caballito, Capital Federal _ Departamento de tres dormitorios en alquiler ubicado sobre calle Antonio Machado y Ambrosetti (Caballito, Ciudad Autónoma de Buenos Aires). Desarrollado en piso alto por ascensor, con disposición frente y orientación al noreste. _ El mismo posee cocina equipada con muebles sobre y bajo mesada, toilette, living comedor, tres dormitorios con placard empotrado y un baño completo. Luminoso, cuenta con muy buena ventilación natural. _ La propiedad tiene una superficie total de aproximadamente 90mts2 cubiertos. _ Las expensas al 30/05/2026 son de aproximadamente $200. 000. Yacoub | Construimos ConfianzaInnovación | Calidad | Sustentabilidad | Diseño100 Mil Metros Cuadrados | 25 TorresLa información descripta en el presente aviso es meramente orientativa y no forma parte de ningún tipo de documentación contractual. Los datos enunciados fueron proporcionados por los propietarios y pueden arrojar inexactitudes, las superficies definitivas surgirán del título de propiedad del inmueble referido. Se deja constancia de que los valores y/o expensas pueden estar sujetas a verificación o ajuste. Lo que estás buscando lo tenemos | Estés Donde EstésVendemos en Todos Lados. --¿Buscas garantía para tu alquiler? Conseguilo mas fácil y rápido con Garantix100% online y cotización al instante. Abona en 3 cuotas sin interés y hasta 12 cuotas fijas o bien abona de contado y obtené un precio inmejorable. No busques más. Alquila más Fácil. Alquila con Garantix. Destacado WhatsApp Contactar
2026-06-20;2;Floresta;Avenida Rivadavia 8000 Floresta, Capital Federal;$ 1.300.000;ARS;330000.0;79;4;3.0;1;16456.0;False;True;True;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-alquiler-4-ambientes-floresta-frente-balcon-59422747.html?n_src=Listado&n_pills=Lavadero&n_pg=2&n_pos=6;;$ 1.300.000 $ 330.000 Expensas 79 m² tot. 4 amb. 3 dorm. 1 baño Avenida Rivadavia 8000 Floresta, Capital Federal Departamento de 4 ambientes en alquiler al frente con balcon corrido. Cocina completa con lavadero. Baño completo. Toilette. Pisos de parquet pulidos y plastificados a nuevo. Pintado en blanco impecable. Tres dormitorios con placard empotrado. Amplio living comedor de 8 metros de largo. Opcional cochera Destacado WhatsApp Contactar
2026-06-20;2;Villa del Parque;"Juan Agustin Garcia 2851. Entre Av. Nazca y Terrada Villa del Parque, Capital Federal Casa 4 ambientes en Villa del Parque, Capital Federal. Solo uso profesional. Living- comedor (4 x 5m) ; cocina (3 x 2, 5m) ; 3 habitaciones (4 x 4m; 3 x 3m; 3 x 3m) ; baño completo; patio (7 x 2m). Terraza de 70 m2. Patio interno chico con baño; habitación en altos.";$ 1.250.000;ARS;;270;4;3.0;1;4630.0;False;False;False;True;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alcllcin-local.-juan-agustin-garcia-al-2800-58979392.html?n_src=Listado&n_pills=Terraza&n_pg=2&n_pos=14;;"$ 1.250.000 270 m² tot. 4 amb. 3 dorm. 1 baño Juan Agustin Garcia 2851. Entre Av. Nazca y Terrada Villa del Parque, Capital Federal Casa 4 ambientes en Villa del Parque, Capital Federal. Solo uso profesional. Living- comedor (4 x 5m) ; cocina (3 x 2, 5m) ; 3 habitaciones (4 x 4m; 3 x 3m; 3 x 3m) ; baño completo; patio (7 x 2m). Terraza de 70 m2. Patio interno chico con baño; habitación en altos. Departamento A refaccionar con condiciones A convenir. solo uso comercial O profesional. Sin expensas. El valor del alquiler es +iva. xintel(css-css-289) Destacado Contactar"
2026-06-20;2;Flores;Impecable estado!. Ubicada en plena zona comercial mayorista. A metros de los principales medios de transporte y bancos. 1 oficina por piso, todas;$ 950.000;ARS;250000.0;70;4;2.0;1;13571.0;False;False;False;False;False;False;True;https://www.zonaprop.com.ar/propiedades/clasificado/alclocin-oficina-piso-completo-de-70-m-sup2--en-centro-32638090.html?n_src=Listado&n_pg=2&n_pos=16;;$ 950.000 $ 250.000 Expensas 70 m² tot. 4 amb. 2 dorm. Bogota 2894 Flores, Capital Federal Excelente oficina de 6 x 12 para uso profesional o administrativo unicamente. 1 baño. Impecable estado!. Ubicada en plena zona comercial mayorista. A metros de los principales medios de transporte y bancos. 1 oficina por piso, todas muy amplias y luminosas. Destacado WhatsApp Contactar
2026-06-20;2;Caballito;Senillosa al 200 Caballito, Capital Federal Sin expensas!! Ideal yoga / pilates / danza / peluqueriaplanta baja a la calle en Senillosa casi Rosario. Se entrega recién pintado. Tiene una superficie total de 80 m2 cubiertos. Conta de: - Hall de entrada 4 m x 1 m- Ambiente 3 m x 2, 8 m ideal recepción- Ambiente principal apaisado al frente con ventanas de 7 m x 3, 8 m y 3, 3 m- 2 ambientes adicionales de 3, 3 m x 3 m y 2, 5 m x 2 m con placards- Baño completo- Cocina 3, 2 m x 3 m con baño de servicio- Baulera bajo escaleraTermotanque eléctrico. Contrato 2 años con ajuste trimestral ipc. Comisión 5% + iva Destacado;$ 1.200.000;ARS;;80;4;;1;15000.0;False;False;False;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alcllcin-sin-expensas-senillosa-y-rosario-80-m-sup2--a-la-59379306.html?n_src=Listado&n_pg=2&n_pos=17;;$ 1.200.000 80 m² tot. 4 amb. 1 baño Senillosa al 200 Caballito, Capital Federal Sin expensas!! Ideal yoga / pilates / danza / peluqueriaplanta baja a la calle en Senillosa casi Rosario. Se entrega recién pintado. Tiene una superficie total de 80 m2 cubiertos. Conta de: - Hall de entrada 4 m x 1 m- Ambiente 3 m x 2, 8 m ideal recepción- Ambiente principal apaisado al frente con ventanas de 7 m x 3, 8 m y 3, 3 m- 2 ambientes adicionales de 3, 3 m x 3 m y 2, 5 m x 2 m con placards- Baño completo- Cocina 3, 2 m x 3 m con baño de servicio- Baulera bajo escaleraTermotanque eléctrico. Contrato 2 años con ajuste trimestral ipc. Comisión 5% + iva Destacado WhatsApp Contactar
2026-06-20;2;Flores;Avenida Carabobo 200 Flores Norte, Flores Excelente semipiso de 4amb con cochera y amplio balcón. *Amplio living con salida a balcón corrido al frente, ubicado en un segundo piso. *Cocina comedor diario con gran espacio de guardado y un amplio ventanal que permite el ingreso de luz. *Lavadero independiente. *3 dormitorios. *Dormitorio ppal en suite con vestidor. *2ndo baño completo y toilette. *Los otros dormitorios con placard. *Cochera fija en pb. Edificio de pocos años y pocas unidades que cuenta con sum y parrilla. En excelente estado. En gran ubicación y a metros de Rivadavia y del subte A de Carabobo. Contrato por 2 años. Ajuste trimestral por ipc. Para mayor información o para visitarlo comunicarse al Ver datos o al Ver datos (Whatsapp) - ley 5859 –art. 5“Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría deinformes a los inquilinos que sean personas físicas. Para los casos de;$ 2.000.000;ARS;390000.0;101;4;3.0;2;19802.0;False;True;True;False;False;True;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-excelente-semipiso-de-4amb-con-cochera-y-amplio-balcon-59158649.html?n_src=Listado&n_pills=SUM&n_pg=2&n_pos=18;;$ 2.000.000 $ 390.000 Expensas 101 m² tot. 4 amb. 3 dorm. 2 baños 1 coch. Avenida Carabobo 200 Flores Norte, Flores Excelente semipiso de 4amb con cochera y amplio balcón. *Amplio living con salida a balcón corrido al frente, ubicado en un segundo piso. *Cocina comedor diario con gran espacio de guardado y un amplio ventanal que permite el ingreso de luz. *Lavadero independiente. *3 dormitorios. *Dormitorio ppal en suite con vestidor. *2ndo baño completo y toilette. *Los otros dormitorios con placard. *Cochera fija en pb. Edificio de pocos años y pocas unidades que cuenta con sum y parrilla. En excelente estado. En gran ubicación y a metros de Rivadavia y del subte A de Carabobo. Contrato por 2 años. Ajuste trimestral por ipc. Para mayor información o para visitarlo comunicarse al Ver datos o al Ver datos (Whatsapp) - ley 5859 –art. 5“Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría deinformes a los inquilinos que sean personas físicas. Para los casos de alquiler devivienda, el monto máximo de comisión quese le puede requerir a los propietarios será elequivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato” Destacado WhatsApp Contactar
2026-06-20;2;Caballito;Eleodoro Lobos al 200 Caballito, Capital Federal;$ 1.500.000;ARS;330000.0;80;4;3.0;2;18750.0;False;True;False;False;False;False;False;https://www.zonaprop.com.ar/propiedades/clasificado/alclapin-departamento-en-caballito-59061389.html?n_src=Listado&n_pills=Lavadero&n_pg=2&n_pos=22;;$ 1.500.000 $ 330.000 Expensas 80 m² tot. 4 amb. 3 dorm. 2 baños Eleodoro Lobos al 200 Caballito, Capital Federal Departamento de 4 ambientes ubicado en quinto piso al frente. Eleodoro Lobos y BogotáLiving comedor con salida a balcón corrido, pisos de madera, cocina comedor amplia y lavadero independiente. Cuenta con tres dormitorios con placard y dos baños completos. Muy buen estado general. Valor alquiler mensual: $1. 500. 000. -Expensas: $330. 000. -Requisitos y condiciones: * Se alquila con seguro: Finaer, Respaldar o ras. * Un mes de alquiler adelantado. * Un mes de depósito. Destacado WhatsApp Contactar
